id	ean	category	quantity	notsent	name	cnName	lastWeek
7	4250755329079	WP_WHIRL	0	0	AVEIRO13/MMW13/WL004	WL004	0|0|0|0|0
8	4250755329024	WP_WHIRL	0	0	AVEIRO04/HX0839	HX0839	0|0|0|0|0
9	4250755329048	WP_WHIRL	0	0	AVEIRO06/HX0835	HX0835	0|0|0|0|0
10	4250755329062	WP_WHIRL	0	0	AVEIRO12/MMW12	MMW12	0|0|0|0|0
11	4250755329031	WP_WHIRL	0	0	AVEIRO05/HX0806S	HX0806S	0|0|0|0|0
12	4250755326146	DS-Duschkopf	5	0	UP003 JANDIA3 MMUP003 SA003 UP03	SA003	0|0|0|0|0
14	4250755339122	CUBITO_MMA	0	0	MMA10	8710	0|0|0|0|0
15	4250755329017	WP_WHIRL	0	0	AVEIRO03/MMW03/HX0838	HX0838	0|0|0|0|0
19	4250755322469	Rav08	27	6	Ravenna08K 100x100	HX532	21|14|6|5|0
21	4250755335322	DS-Ablauf	48	30	AL002/90MM ABLAUFLOCH	AL002	1075|342|164|82|27
22	4250755335476	ZUB	48049	1	NANO WB/WC/BD	N.A.	104|61|50|2|0
23	4250755329055	WP_WHIRL	0	0	AVEIRO09/MMW09/WL005	WL005	0|0|0|0|0
26	4250755339092	CUBITO_MMA	0	0	MMA707	8707B	0|0|0|0|0
27	4250755339023	CUBITO_MMA	2	1	MMA807	GMG8807B	54|2|2|0|0
28	4250755339078	CUBITO_MMA	36	0	MMA705	8705	2|2|1|1|1
29	4250755339115	CUBITO_MMA	0	0	MMA709	MMA709	0|0|0|0|0
30	4250755339061	CUBITO_MMA	0	0	MMA704B	GMC8704B	0|0|0|0|0
35	4250755325521	WP-Cortona	21	1	Cortona1121	DA112-1	50|11|5|3|0
36	4250755325538	WP-Cortona	84	3	Cortona1122	DA112-2	35|11|4|3|0
46	4250755339016	CUBITO_MMA	5	1	MMA802	GMG8802	0|0|0|0|0
47	4250755339030	CUBITO_MMA	0	0	MMA804B	GMG8804B	0|0|0|0|0
49	4250755339047	CUBITO_MMA	1	0	MMA806	GMG8806	41|5|4|2|0
51	4250755325514	WP-Cortona	14	1	Cortona112	DA112	24|6|5|1|0
53	4250755326122	Deleted-element	0	0	UP001 JANDIA1 MMUP001 SA001	SA001	0|0|0|0|0
55	4250755339108	CUBITO_MMA	94	0	MMA708	8708	15|6|1|1|1
58	4250755339054	CUBITO_MMA	0	0	MMA702	GMG8702D	0|0|0|0|0
61	4250755335483	ZUB	49734	0	NANO DK/DW/DA	N.A.	6|6|6|0|0
62	4250755335490	ZUB	49931	0	NANO WP	N.A.	2|0|0|0|0
63	4250755339085	CUBITO_MMA	53	0	MMA706	8706B	17|1|0|0|0
73	4250755329086	WP_WHIRL	0	0	AVEIRO14/HX0834	HX0834	0|0|0|0|0
95	4250755322452	Rav08	30	8	Ravenna08K 90x90	MMD08 90x90/HX533	38|10|8|6|2
109	4250755339252	CUBITO_MMO	0	0	MMO801	9801	0|0|0|0|0
110	4250755339238	CUBITO_MMO	-1	1	MMO806	7806	0|0|0|0|0
111	4250755339214	CUBITO_MMO	0	0	MMO808	7808	0|0|0|0|0
112	4250755323022	Bremen1K	45	3	Bremen01K 90	BR7003-900	25|4|4|2|0
113	4250755323039	Bremen1K	25	9	Bremen01K 100	BR7003-1000	60|25|8|5|0
114	4250755323046	Bremen1K	24	4	Bremen01K 110	BR7003-1100	36|19|8|6|0
115	4250755323053	Bremen1K	82	5	Bremen01K 120	BR7003-1200	72|27|16|9|2
116	4250755323077	Bremen1K	11	11	Bremen01K 140	BR7003-1400	83|33|14|4|1
117	4250755339245	CUBITO_MMO	33	1	MMO801B	7801b	16|4|4|4|0
118	4250755327235	DT-Faro+Novas+Xetro	49	4	Faro1W 70x70x4	4G01W 70x70x4	81|31|19|7|2
119	4250755327242	DT-Faro+Novas+Xetro	18	5	Faro1W 75x75x4	4G01W 75x75x4	91|27|13|4|2
120	4250755327341	DT-Faro+Novas+Xetro	29	0	Faro2W 80x110x4	4G04W 80*110*4	48|20|9|4|1
121	4250755327303	DT-Faro+Novas+Xetro	15	6	Faro2W 70x120x4	4G04W 70*120*4	42|11|8|5|2
122	4250755327297	DT-Faro+Novas+Xetro	57	2	Faro2W 70x100x4	4G04W 70*100*4	49|11|5|4|1
123	4250755327310	DT-Faro+Novas+Xetro	98	5	Faro2W 75x90x4	4G04W 75*90*4	39|16|7|4|1
124	4250755339221	CUBITO_MMO	5	0	MMO807A	7807	0|0|0|0|0
126	4250755329185	WP-Badewanne	3	1	Vicenza601-MA	FB601-MA	13|6|2|2|1
128	4250755329178	WP-Badewanne	6	1	Vicenza501-OA	FB501-OA	8|1|0|0|0
129	4250755327273	DT-Faro+Novas+Xetro	40	17	Faro1W 100x100x4	4G01W 100x100x4	88|18|10|4|0
130	4250755327259	DT-Faro+Novas+Xetro	52	2	Faro1W 80x80x4	4G01W 80x80x4	109|27|13|8|1
131	4250755327266	DT-Faro+Novas+Xetro	84	12	Faro1W 90x90x4	4G01W 90x90x4	258|75|32|14|6
132	4250755327280	DT-Faro+Novas+Xetro	54	0	Faro2W 70x90x4	4G04W 70*90*4	39|12|8|2|0
133	4250755327334	DT-Faro+Novas+Xetro	59	8	Faro2W 80x100x4	4G04W 80*100*4	86|27|11|6|2
134	4250755327365	DT-Faro+Novas+Xetro	70	15	Faro2W 90x120x4	4G04W 90*120*4	202|59|20|12|5
135	4250755327327	DT-Faro+Novas+Xetro	60	10	Faro2W 80x90x4	4G04W 80*90*4	100|33|14|9|5
136	4250755327358	DT-Faro+Novas+Xetro	44	8	Faro2W 80x120x4	4G04W 80*120*4	97|34|18|8|4
137	4250755329192	WP-Badewanne	8	1	Vicenza502-OA	FB502-OA	44|9|5|1|0
138	4250755329093	WP_WHIRL	0	0	AVEIRO1030/EW1030	EW1030	0|0|0|0|0
139	4250755329109	WP_WHIRL	0	0	AVEIRO2001/EW2001	EW2001	0|0|0|0|0
140	4250755329116	WP_WHIRL	0	0	AVEIRO2002/EW2002	EW2002	0|0|0|0|0
141	4250755329123	WP_WHIRL	0	0	AVEIRO2007/EW2007	EW2007	0|0|0|0|0
142	4250755329130	WP_WHIRL	0	0	AVEIRO2009/EW2009	EW2009	0|0|0|0|0
143	4250755329154	WP_WHIRL	0	0	AVEIRO3005/EW3005	EW3005	0|0|0|0|0
144	4250755323060	Bremen1K	15	1	Bremen01K 130	BR7003-1300	26|5|3|0|0
145	4250755329147	WP_WHIRL	0	0	AVEIRO2011/EW2011	EW2011	0|0|0|0|0
146	4250755327372	DT-Faro+Novas+Xetro	11	1	Faro3W 80x80x4	4G02W 80*80*4	39|10|5|2|2
147	4250755327389	DT-Faro+Novas+Xetro	13	2	Faro3W 90x90x4	4G02W 90*90*4	46|15|4|2|1
148	4250755327396	DT-Faro+Novas+Xetro	10	2	Faro3W 100x100x4	4G02W 100*100*4	20|1|1|1|0
149	4250755327587	DT-Schwarz	5	0	Faro3B 100x100x4	4G02B 100*100*4	0|0|0|0|0
150	4250755327570	DT-Schwarz	0	0	Faro3B 90x90x4	4G02B 90*90*4	0|0|0|0|0
151	4250755327563	DT-Schwarz	4	0	Faro3B 80x80x4	4G02B 80*80*4	2|0|0|0|0
152	4250755327402	DT-Faro+Novas+Xetro	6	3	Faro4W 90x90x4	4G03W 90*90*4	35|10|6|2|1
